style,filename,correct,readability
neutral,solution_neutral_1.py,0,
neutral,solution_neutral_2.py,1,8
neutral,solution_neutral_3.py,1,7
neutral,solution_neutral_4.py,1,7
neutral,solution_neutral_5.py,1,8
neutral,solution_neutral_6.py,1,7
neutral,solution_neutral_7.py,1,8
neutral,solution_neutral_8.py,1,8
neutral,solution_neutral_9.py,1,7
neutral,solution_neutral_10.py,0,
neutral,solution_neutral_11.py,1,7
neutral,solution_neutral_12.py,1,7
neutral,solution_neutral_13.py,1,7
neutral,solution_neutral_14.py,1,8
neutral,solution_neutral_15.py,1,8
neutral,solution_neutral_16.py,0,
neutral,solution_neutral_17.py,1,7
neutral,solution_neutral_18.py,1,8
neutral,solution_neutral_19.py,1,8
neutral,solution_neutral_20.py,1,7
neutral,solution_neutral_21.py,1,8
neutral,solution_neutral_22.py,1,8
neutral,solution_neutral_23.py,1,7
neutral,solution_neutral_24.py,1,8
neutral,solution_neutral_25.py,1,7
neutral,solution_neutral_26.py,0,
neutral,solution_neutral_27.py,1,8
neutral,solution_neutral_28.py,1,8
neutral,solution_neutral_29.py,1,7
neutral,solution_neutral_30.py,1,7
neutral,solution_neutral_31.py,1,7
neutral,solution_neutral_32.py,1,7
neutral,solution_neutral_33.py,1,7
neutral,solution_neutral_34.py,1,7
neutral,solution_neutral_35.py,1,7
neutral,solution_neutral_36.py,0,
neutral,solution_neutral_37.py,0,
neutral,solution_neutral_38.py,1,7
neutral,solution_neutral_39.py,1,8
neutral,solution_neutral_40.py,1,8
neutral,solution_neutral_41.py,1,7
neutral,solution_neutral_42.py,1,7
neutral,solution_neutral_43.py,1,7
neutral,solution_neutral_44.py,1,7
neutral,solution_neutral_45.py,1,7
neutral,solution_neutral_46.py,0,
neutral,solution_neutral_47.py,1,8
neutral,solution_neutral_48.py,1,8
neutral,solution_neutral_49.py,1,8
neutral,solution_neutral_50.py,0,
neutral,solution_neutral_51.py,1,8
neutral,solution_neutral_52.py,1,7
neutral,solution_neutral_53.py,1,7
neutral,solution_neutral_54.py,0,
neutral,solution_neutral_55.py,1,8
neutral,solution_neutral_56.py,1,7
neutral,solution_neutral_57.py,0,
neutral,solution_neutral_58.py,1,8
neutral,solution_neutral_59.py,1,7
neutral,solution_neutral_60.py,1,7
neutral,solution_neutral_61.py,1,8
neutral,solution_neutral_62.py,1,7
neutral,solution_neutral_63.py,1,7
neutral,solution_neutral_64.py,1,7
neutral,solution_neutral_65.py,1,8
neutral,solution_neutral_66.py,1,7
neutral,solution_neutral_67.py,0,
neutral,solution_neutral_68.py,1,7
neutral,solution_neutral_69.py,0,
neutral,solution_neutral_70.py,1,7
neutral,solution_neutral_71.py,1,7
neutral,solution_neutral_72.py,1,8
neutral,solution_neutral_73.py,1,7
neutral,solution_neutral_74.py,1,7
neutral,solution_neutral_75.py,1,7
neutral,solution_neutral_76.py,1,8
neutral,solution_neutral_77.py,1,7
neutral,solution_neutral_78.py,1,7
neutral,solution_neutral_79.py,1,7
neutral,solution_neutral_80.py,1,7
neutral,solution_neutral_81.py,1,8
neutral,solution_neutral_82.py,1,8
neutral,solution_neutral_83.py,0,
neutral,solution_neutral_84.py,1,7
neutral,solution_neutral_85.py,0,
neutral,solution_neutral_86.py,1,8
neutral,solution_neutral_87.py,1,7
neutral,solution_neutral_88.py,1,7
neutral,solution_neutral_89.py,1,7
neutral,solution_neutral_90.py,1,7
neutral,solution_neutral_91.py,1,8
neutral,solution_neutral_92.py,1,8
neutral,solution_neutral_93.py,1,7
neutral,solution_neutral_94.py,1,7
neutral,solution_neutral_95.py,1,7
neutral,solution_neutral_96.py,1,8
neutral,solution_neutral_97.py,0,
neutral,solution_neutral_98.py,1,7
neutral,solution_neutral_99.py,1,7
neutral,solution_neutral_100.py,0,
rude,solution_rude_1.py,1,8
rude,solution_rude_2.py,1,7
rude,solution_rude_3.py,1,7
rude,solution_rude_4.py,1,7
rude,solution_rude_5.py,1,7
rude,solution_rude_6.py,1,7
rude,solution_rude_7.py,1,7
rude,solution_rude_8.py,1,8
rude,solution_rude_9.py,1,7
rude,solution_rude_10.py,1,8
rude,solution_rude_11.py,1,7
rude,solution_rude_12.py,1,7
rude,solution_rude_13.py,1,7
rude,solution_rude_14.py,1,7
rude,solution_rude_15.py,1,7
rude,solution_rude_16.py,1,7
rude,solution_rude_17.py,0,
rude,solution_rude_18.py,1,7
rude,solution_rude_19.py,0,
rude,solution_rude_20.py,1,7
rude,solution_rude_21.py,1,7
rude,solution_rude_22.py,1,7
rude,solution_rude_23.py,0,
rude,solution_rude_24.py,1,7
rude,solution_rude_25.py,1,7
rude,solution_rude_26.py,0,
rude,solution_rude_27.py,1,7
rude,solution_rude_28.py,1,7
rude,solution_rude_29.py,0,
rude,solution_rude_30.py,1,7
rude,solution_rude_31.py,0,
rude,solution_rude_32.py,1,7
rude,solution_rude_33.py,1,7
rude,solution_rude_34.py,1,8
rude,solution_rude_35.py,1,7
rude,solution_rude_36.py,1,7
rude,solution_rude_37.py,0,
rude,solution_rude_38.py,0,
rude,solution_rude_39.py,1,7
rude,solution_rude_40.py,1,7
rude,solution_rude_41.py,1,7
rude,solution_rude_42.py,0,
rude,solution_rude_43.py,1,7
rude,solution_rude_44.py,1,7
rude,solution_rude_45.py,1,7
rude,solution_rude_46.py,1,7
rude,solution_rude_47.py,1,7
rude,solution_rude_48.py,0,
rude,solution_rude_49.py,1,7
rude,solution_rude_50.py,1,8
rude,solution_rude_51.py,1,7
rude,solution_rude_52.py,1,8
rude,solution_rude_53.py,0,
rude,solution_rude_54.py,0,
rude,solution_rude_55.py,0,
rude,solution_rude_56.py,1,8
rude,solution_rude_57.py,1,7
rude,solution_rude_58.py,0,
rude,solution_rude_59.py,1,7
rude,solution_rude_60.py,1,7
rude,solution_rude_61.py,1,7
rude,solution_rude_62.py,1,8
rude,solution_rude_63.py,0,
rude,solution_rude_64.py,1,7
rude,solution_rude_65.py,1,7
rude,solution_rude_66.py,0,
rude,solution_rude_67.py,1,7
rude,solution_rude_68.py,0,
rude,solution_rude_69.py,0,
rude,solution_rude_70.py,1,7
rude,solution_rude_71.py,1,8
rude,solution_rude_72.py,0,
rude,solution_rude_73.py,1,7
rude,solution_rude_74.py,1,7
rude,solution_rude_75.py,1,7
rude,solution_rude_76.py,1,7
rude,solution_rude_77.py,1,7
rude,solution_rude_78.py,0,
rude,solution_rude_79.py,1,8
rude,solution_rude_80.py,1,8
rude,solution_rude_81.py,0,
rude,solution_rude_82.py,0,
rude,solution_rude_83.py,1,7
rude,solution_rude_84.py,1,7
rude,solution_rude_85.py,1,8
rude,solution_rude_86.py,1,7
rude,solution_rude_87.py,1,8
rude,solution_rude_88.py,0,
rude,solution_rude_89.py,1,8
rude,solution_rude_90.py,0,
rude,solution_rude_91.py,1,7
rude,solution_rude_92.py,1,7
rude,solution_rude_93.py,1,7
rude,solution_rude_94.py,1,7
rude,solution_rude_95.py,0,
rude,solution_rude_96.py,0,
rude,solution_rude_97.py,1,7
rude,solution_rude_98.py,1,8
rude,solution_rude_99.py,1,7
rude,solution_rude_100.py,1,7
polite,solution_polite_1.py,1,8
polite,solution_polite_2.py,1,7
polite,solution_polite_3.py,1,7
polite,solution_polite_4.py,1,7
polite,solution_polite_5.py,1,7
polite,solution_polite_6.py,1,8
polite,solution_polite_7.py,1,7
polite,solution_polite_8.py,1,7
polite,solution_polite_9.py,0,
polite,solution_polite_10.py,1,7
polite,solution_polite_11.py,1,7
polite,solution_polite_12.py,1,7
polite,solution_polite_13.py,1,7
polite,solution_polite_14.py,1,7
polite,solution_polite_15.py,1,7
polite,solution_polite_16.py,0,
polite,solution_polite_17.py,1,7
polite,solution_polite_18.py,1,7
polite,solution_polite_19.py,0,
polite,solution_polite_20.py,1,7
polite,solution_polite_21.py,1,7
polite,solution_polite_22.py,1,7
polite,solution_polite_23.py,1,7
polite,solution_polite_24.py,1,8
polite,solution_polite_25.py,1,7
polite,solution_polite_26.py,1,7
polite,solution_polite_27.py,1,7
polite,solution_polite_28.py,1,7
polite,solution_polite_29.py,1,7
polite,solution_polite_30.py,1,8
polite,solution_polite_31.py,1,7
polite,solution_polite_32.py,0,
polite,solution_polite_33.py,1,7
polite,solution_polite_34.py,1,7
polite,solution_polite_35.py,1,8
polite,solution_polite_36.py,1,7
polite,solution_polite_37.py,1,7
polite,solution_polite_38.py,1,7
polite,solution_polite_39.py,1,7
polite,solution_polite_40.py,1,8
polite,solution_polite_41.py,1,7
polite,solution_polite_42.py,1,7
polite,solution_polite_43.py,1,7
polite,solution_polite_44.py,1,7
polite,solution_polite_45.py,1,7
polite,solution_polite_46.py,1,7
polite,solution_polite_47.py,1,7
polite,solution_polite_48.py,1,7
polite,solution_polite_49.py,1,7
polite,solution_polite_50.py,1,8
polite,solution_polite_51.py,1,7
polite,solution_polite_52.py,1,7
polite,solution_polite_53.py,1,7
polite,solution_polite_54.py,1,8
polite,solution_polite_55.py,1,7
polite,solution_polite_56.py,1,7
polite,solution_polite_57.py,1,7
polite,solution_polite_58.py,1,7
polite,solution_polite_59.py,1,7
polite,solution_polite_60.py,1,7
polite,solution_polite_61.py,1,7
polite,solution_polite_62.py,1,7
polite,solution_polite_63.py,1,8
polite,solution_polite_64.py,1,7
polite,solution_polite_65.py,1,7
polite,solution_polite_66.py,1,7
polite,solution_polite_67.py,1,7
polite,solution_polite_68.py,1,7
polite,solution_polite_69.py,1,7
polite,solution_polite_70.py,1,8
polite,solution_polite_71.py,1,7
polite,solution_polite_72.py,1,7
polite,solution_polite_73.py,1,7
polite,solution_polite_74.py,0,
polite,solution_polite_75.py,1,7
polite,solution_polite_76.py,1,7
polite,solution_polite_77.py,1,7
polite,solution_polite_78.py,1,7
polite,solution_polite_79.py,1,7
polite,solution_polite_80.py,1,7
polite,solution_polite_81.py,1,7
polite,solution_polite_82.py,1,7
polite,solution_polite_83.py,1,7
polite,solution_polite_84.py,1,7
polite,solution_polite_85.py,1,7
polite,solution_polite_86.py,1,7
polite,solution_polite_87.py,1,7
polite,solution_polite_88.py,1,7
polite,solution_polite_89.py,1,7
polite,solution_polite_90.py,1,8
polite,solution_polite_91.py,0,
polite,solution_polite_92.py,1,7
polite,solution_polite_93.py,0,
polite,solution_polite_94.py,1,7
polite,solution_polite_95.py,1,7
polite,solution_polite_96.py,1,8
polite,solution_polite_97.py,1,7
polite,solution_polite_98.py,1,7
polite,solution_polite_99.py,1,7
polite,solution_polite_100.py,1,7
URGENT,solution_URGENT_1.py,1,7
URGENT,solution_URGENT_2.py,1,7
URGENT,solution_URGENT_3.py,1,7
URGENT,solution_URGENT_4.py,1,7
URGENT,solution_URGENT_5.py,1,7
URGENT,solution_URGENT_6.py,1,7
URGENT,solution_URGENT_7.py,1,8
URGENT,solution_URGENT_8.py,1,7
URGENT,solution_URGENT_9.py,1,7
URGENT,solution_URGENT_10.py,1,7
URGENT,solution_URGENT_11.py,1,7
URGENT,solution_URGENT_12.py,1,7
URGENT,solution_URGENT_13.py,1,7
URGENT,solution_URGENT_14.py,1,7
URGENT,solution_URGENT_15.py,1,7
URGENT,solution_URGENT_16.py,1,7
URGENT,solution_URGENT_17.py,1,7
URGENT,solution_URGENT_18.py,1,7
URGENT,solution_URGENT_19.py,1,7
URGENT,solution_URGENT_20.py,1,7
URGENT,solution_URGENT_21.py,1,7
URGENT,solution_URGENT_22.py,1,7
URGENT,solution_URGENT_23.py,1,7
URGENT,solution_URGENT_24.py,1,7
URGENT,solution_URGENT_25.py,1,8
URGENT,solution_URGENT_26.py,1,7
URGENT,solution_URGENT_27.py,1,7
URGENT,solution_URGENT_28.py,1,7
URGENT,solution_URGENT_29.py,1,7
URGENT,solution_URGENT_30.py,1,7
URGENT,solution_URGENT_31.py,1,7
URGENT,solution_URGENT_32.py,1,8
URGENT,solution_URGENT_33.py,1,7
URGENT,solution_URGENT_34.py,1,7
URGENT,solution_URGENT_35.py,1,7
URGENT,solution_URGENT_36.py,1,7
URGENT,solution_URGENT_37.py,1,7
URGENT,solution_URGENT_38.py,1,8
URGENT,solution_URGENT_39.py,1,7
URGENT,solution_URGENT_40.py,1,7
URGENT,solution_URGENT_41.py,1,7
URGENT,solution_URGENT_42.py,1,7
URGENT,solution_URGENT_43.py,0,
URGENT,solution_URGENT_44.py,1,7
URGENT,solution_URGENT_45.py,1,7
URGENT,solution_URGENT_46.py,1,7
URGENT,solution_URGENT_47.py,1,8
URGENT,solution_URGENT_48.py,1,7
URGENT,solution_URGENT_49.py,1,7
URGENT,solution_URGENT_50.py,1,7
URGENT,solution_URGENT_51.py,1,8
URGENT,solution_URGENT_52.py,0,
URGENT,solution_URGENT_53.py,1,7
URGENT,solution_URGENT_54.py,1,7
URGENT,solution_URGENT_55.py,1,7
URGENT,solution_URGENT_56.py,1,7
URGENT,solution_URGENT_57.py,1,7
URGENT,solution_URGENT_58.py,1,7
URGENT,solution_URGENT_59.py,1,7
URGENT,solution_URGENT_60.py,1,7
URGENT,solution_URGENT_61.py,1,7
URGENT,solution_URGENT_62.py,1,8
URGENT,solution_URGENT_63.py,1,7
URGENT,solution_URGENT_64.py,1,7
URGENT,solution_URGENT_65.py,1,7
URGENT,solution_URGENT_66.py,1,8
URGENT,solution_URGENT_67.py,1,7
URGENT,solution_URGENT_68.py,1,7
URGENT,solution_URGENT_69.py,1,7
URGENT,solution_URGENT_70.py,1,8
URGENT,solution_URGENT_71.py,1,7
URGENT,solution_URGENT_72.py,1,8
URGENT,solution_URGENT_73.py,1,7
URGENT,solution_URGENT_74.py,1,7
URGENT,solution_URGENT_75.py,1,7
URGENT,solution_URGENT_76.py,1,7
URGENT,solution_URGENT_77.py,1,8
URGENT,solution_URGENT_78.py,1,8
URGENT,solution_URGENT_79.py,1,7
URGENT,solution_URGENT_80.py,1,7
URGENT,solution_URGENT_81.py,1,7
URGENT,solution_URGENT_82.py,1,7
URGENT,solution_URGENT_83.py,1,7
URGENT,solution_URGENT_84.py,1,7
URGENT,solution_URGENT_85.py,1,7
URGENT,solution_URGENT_86.py,1,7
URGENT,solution_URGENT_87.py,1,7
URGENT,solution_URGENT_88.py,1,7
URGENT,solution_URGENT_89.py,1,8
URGENT,solution_URGENT_90.py,1,7
URGENT,solution_URGENT_91.py,1,7
URGENT,solution_URGENT_92.py,1,7
URGENT,solution_URGENT_93.py,1,7
URGENT,solution_URGENT_94.py,0,
URGENT,solution_URGENT_95.py,1,7
URGENT,solution_URGENT_96.py,1,7
URGENT,solution_URGENT_97.py,1,8
URGENT,solution_URGENT_98.py,1,8
URGENT,solution_URGENT_99.py,1,7
URGENT,solution_URGENT_100.py,1,7
